Date de vaccination;18-29 ans;;;30-49 ans;;;50-69 ans;;;70-79 ans;;;80 ans et plus;;
;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés
2020-12-14;0,0005%;0,0000%;0,0001%;0,0016%;0,0000%;0,0000%;0,0020%;0,0000%;0,0002%;0,0031%;0,0000%;0,0011%;0,0301%;0,0000%;0,0069%
2020-12-15;0,0092%;0,0000%;0,0004%;0,0202%;0,0000%;0,0014%;0,0214%;0,0000%;0,0013%;0,0081%;0,0000%;0,0023%;0,0547%;0,0000%;0,0133%
2020-12-16;0,0202%;0,0000%;0,0013%;0,0393%;0,0000%;0,0029%;0,0387%;0,0000%;0,0023%;0,0096%;0,0000%;0,0024%;0,0549%;0,0000%;0,0136%
2020-12-17;0,0307%;0,0000%;0,0018%;0,0581%;0,0000%;0,0040%;0,0547%;0,0000%;0,0034%;0,0107%;0,0000%;0,0025%;0,0556%;0,0000%;0,0140%
2020-12-18;0,0389%;0,0000%;0,0025%;0,0740%;0,0000%;0,0058%;0,0676%;0,0000%;0,0050%;0,0117%;0,0000%;0,0025%;0,0561%;0,0000%;0,0140%
2020-12-19;0,0475%;0,0000%;0,0029%;0,0886%;0,0000%;0,0071%;0,0797%;0,0000%;0,0063%;0,0135%;0,0000%;0,0025%;0,0563%;0,0000%;0,0140%
2020-12-20;0,0483%;0,0000%;0,0031%;0,0913%;0,0000%;0,0074%;0,0820%;0,0000%;0,0065%;0,0139%;0,0000%;0,0025%;0,0565%;0,0000%;0,0140%
2020-12-21;0,0532%;0,0000%;0,0037%;0,0987%;0,0000%;0,0079%;0,0885%;0,0000%;0,0077%;0,0190%;0,0000%;0,0036%;0,0784%;0,0000%;0,0211%
2020-12-22;0,0650%;0,0000%;0,0044%;0,1216%;0,0000%;0,0099%;0,1151%;0,0000%;0,0114%;0,0404%;0,0000%;0,0090%;0,1785%;0,0000%;0,0499%
2020-12-23;0,1047%;0,0000%;0,0076%;0,1853%;0,0000%;0,0163%;0,1746%;0,0000%;0,0184%;0,0600%;0,0000%;0,0102%;0,2442%;0,0000%;0,0607%
2020-12-24;0,1394%;0,0000%;0,0097%;0,2348%;0,0000%;0,0211%;0,2226%;0,0000%;0,0222%;0,0726%;0,0000%;0,0106%;0,2902%;0,0000%;0,0639%
2020-12-25;0,1398%;0,0000%;0,0097%;0,2349%;0,0000%;0,0211%;0,2227%;0,0000%;0,0222%;0,0727%;0,0000%;0,0106%;0,2907%;0,0000%;0,0639%
2020-12-26;0,1768%;0,0000%;0,0123%;0,2940%;0,0000%;0,0268%;0,2752%;0,0000%;0,0279%;0,0798%;0,0000%;0,0108%;0,3028%;0,0000%;0,0639%
2020-12-27;0,2064%;0,0000%;0,0156%;0,3371%;0,0000%;0,0309%;0,3167%;0,0000%;0,0318%;0,0824%;0,0000%;0,0111%;0,3038%;0,0000%;0,0641%
2020-12-28;0,2348%;0,0000%;0,0179%;0,3873%;0,0000%;0,0366%;0,3616%;0,0000%;0,0376%;0,0856%;0,0000%;0,0112%;0,3086%;0,0000%;0,0646%
2020-12-29;0,2641%;0,0000%;0,0208%;0,4328%;0,0000%;0,0408%;0,4055%;0,0000%;0,0423%;0,0908%;0,0000%;0,0115%;0,3134%;0,0000%;0,0646%
2020-12-30;0,3016%;0,0000%;0,0239%;0,4956%;0,0000%;0,0473%;0,4578%;0,0000%;0,0483%;0,0970%;0,0000%;0,0120%;0,3201%;0,0000%;0,0648%
2020-12-31;0,3070%;0,0000%;0,0243%;0,5025%;0,0000%;0,0474%;0,4653%;0,0000%;0,0485%;0,0987%;0,0000%;0,0120%;0,3203%;0,0000%;0,0648%
2021-01-01;0,3084%;0,0000%;0,0243%;0,5041%;0,0000%;0,0475%;0,4659%;0,0000%;0,0485%;0,0996%;0,0000%;0,0120%;0,3212%;0,0000%;0,0648%
2021-01-02;0,3191%;0,0000%;0,0259%;0,5163%;0,0000%;0,0489%;0,4777%;0,0000%;0,0492%;0,1021%;0,0000%;0,0120%;0,3226%;0,0000%;0,0648%
2021-01-03;0,3477%;0,0000%;0,0289%;0,5494%;0,0000%;0,0517%;0,4999%;0,0000%;0,0504%;0,1051%;0,0000%;0,0121%;0,3235%;0,0000%;0,0648%
2021-01-04;0,3845%;0,0000%;0,0320%;0,6002%;0,0000%;0,0560%;0,5358%;0,0000%;0,0544%;0,1228%;0,0000%;0,0150%;0,3853%;0,0000%;0,0885%
2021-01-05;0,4461%;0,0000%;0,0363%;0,6865%;0,0003%;0,0626%;0,6007%;0,0001%;0,0612%;0,1769%;0,0000%;0,0256%;0,6542%;0,0000%;0,1799%
2021-01-06;0,5595%;0,0001%;0,0428%;0,8428%;0,0007%;0,0731%;0,7312%;0,0006%;0,0723%;0,2696%;0,0000%;0,0400%;1,0468%;0,0000%;0,2743%
2021-01-07;0,6565%;0,0004%;0,0499%;1,0051%;0,0012%;0,0864%;0,8813%;0,0010%;0,0879%;0,4261%;0,0003%;0,0689%;1,8012%;0,0000%;0,4637%
2021-01-08;0,7713%;0,0008%;0,0574%;1,1814%;0,0017%;0,0983%;1,0381%;0,0014%;0,1019%;0,5714%;0,0005%;0,0924%;2,4098%;0,0000%;0,6006%
2021-01-09;0,8600%;0,0009%;0,0630%;1,3219%;0,0020%;0,1067%;1,1479%;0,0016%;0,1086%;0,6518%;0,0005%;0,1067%;2,6720%;0,0000%;0,6760%
2021-01-10;0,9399%;0,0009%;0,0684%;1,4428%;0,0021%;0,1135%;1,2338%;0,0016%;0,1121%;0,7085%;0,0005%;0,1126%;2,8673%;0,0000%;0,7247%
2021-01-11;1,0256%;0,0009%;0,0741%;1,5612%;0,0028%;0,1216%;1,3177%;0,0018%;0,1194%;0,7621%;0,0006%;0,1215%;3,1249%;0,0000%;0,7785%
2021-01-12;1,1214%;0,0012%;0,0809%;1,6963%;0,0034%;0,1307%;1,4167%;0,0019%;0,1254%;0,8305%;0,0008%;0,1262%;3,3255%;0,0000%;0,8035%
2021-01-13;1,2290%;0,0013%;0,0884%;1,8578%;0,0037%;0,1397%;1,5338%;0,0022%;0,1327%;0,8934%;0,0010%;0,1327%;3,5500%;0,0000%;0,8458%
2021-01-14;1,3793%;0,0015%;0,0978%;2,0668%;0,0040%;0,1532%;1,6891%;0,0024%;0,1427%;0,9744%;0,0013%;0,1398%;3,7875%;0,0002%;0,8718%
2021-01-15;1,5295%;0,0021%;0,1085%;2,2806%;0,0048%;0,1655%;1,8471%;0,0037%;0,1526%;1,0388%;0,0017%;0,1430%;3,9231%;0,0005%;0,8883%
2021-01-16;1,6465%;0,0026%;0,1157%;2,4173%;0,0059%;0,1731%;1,9627%;0,0053%;0,1593%;1,1011%;0,0022%;0,1492%;4,1058%;0,0007%;0,9195%
2021-01-17;1,7449%;0,0029%;0,1206%;2,5142%;0,0061%;0,1775%;2,0476%;0,0054%;0,1632%;1,1734%;0,0022%;0,1588%;4,3241%;0,0007%;0,9641%
2021-01-18;1,8484%;0,0038%;0,1262%;2,6415%;0,0068%;0,1848%;2,1722%;0,0061%;0,1699%;1,2964%;0,0028%;0,1734%;4,8385%;0,0011%;1,0340%
2021-01-19;1,9594%;0,0043%;0,1321%;2,7875%;0,0074%;0,1924%;2,3018%;0,0066%;0,1766%;1,4216%;0,0031%;0,1840%;5,2232%;0,0018%;1,0910%
2021-01-20;2,0880%;0,0046%;0,1388%;2,9482%;0,0080%;0,2001%;2,4476%;0,0069%;0,1842%;1,5822%;0,0034%;0,1938%;5,6450%;0,0018%;1,1454%
2021-01-21;2,2448%;0,0053%;0,1479%;3,1582%;0,0095%;0,2115%;2,6327%;0,0084%;0,1931%;1,7398%;0,0042%;0,2016%;6,1029%;0,0021%;1,1888%
2021-01-22;2,3972%;0,0060%;0,1568%;3,3485%;0,0109%;0,2223%;2,7858%;0,0091%;0,2000%;1,8388%;0,0048%;0,2088%;6,4492%;0,0023%;1,2196%
2021-01-23;2,5162%;0,0063%;0,1664%;3,4902%;0,0111%;0,2296%;2,9037%;0,0093%;0,2051%;1,9018%;0,0048%;0,2110%;6,6130%;0,0025%;1,2382%
2021-01-24;2,5324%;0,0064%;0,1673%;3,5140%;0,0115%;0,2310%;2,9372%;0,0095%;0,2062%;1,9402%;0,0053%;0,2133%;6,6852%;0,0025%;1,2470%
2021-01-25;2,5716%;0,0074%;0,1705%;3,5690%;0,0123%;0,2344%;2,9979%;0,0098%;0,2092%;2,0108%;0,0060%;0,2188%;6,8777%;0,0032%;1,2688%
2021-01-26;2,6234%;0,0083%;0,1733%;3,6271%;0,0137%;0,2388%;3,0532%;0,0114%;0,2127%;2,0686%;0,0125%;0,2292%;7,0059%;0,0083%;1,2840%
2021-01-27;2,6601%;0,0087%;0,1754%;3,6699%;0,0149%;0,2415%;3,1042%;0,0137%;0,2169%;2,1251%;0,0197%;0,2412%;7,2013%;0,0126%;1,3115%
2021-01-28;2,7019%;0,0098%;0,1783%;3,7151%;0,0159%;0,2453%;3,1443%;0,0163%;0,2217%;2,1747%;0,0307%;0,2549%;7,3338%;0,0177%;1,3363%
2021-01-29;2,7212%;0,0104%;0,1793%;3,7374%;0,0163%;0,2464%;3,1660%;0,0181%;0,2242%;2,2227%;0,0406%;0,2655%;7,5002%;0,0237%;1,3515%
2021-01-30;2,7295%;0,0107%;0,1798%;3,7474%;0,0165%;0,2469%;3,1760%;0,0206%;0,2268%;2,2308%;0,0480%;0,2733%;7,5041%;0,0319%;1,3598%
2021-01-31;2,7364%;0,0107%;0,1801%;3,7565%;0,0169%;0,2474%;3,1939%;0,0233%;0,2302%;2,2429%;0,0546%;0,2798%;7,5153%;0,0375%;1,3648%
2021-02-01;2,7444%;0,0112%;0,1809%;3,7651%;0,0175%;0,2484%;3,2011%;0,0260%;0,2328%;2,2520%;0,0616%;0,2868%;7,5186%;0,0407%;1,3681%
2021-02-02;2,7490%;0,0119%;0,1816%;3,7689%;0,0182%;0,2492%;3,2082%;0,0298%;0,2367%;2,2774%;0,0787%;0,3043%;7,5905%;0,0496%;1,3802%
2021-02-03;2,7747%;0,0130%;0,1837%;3,8032%;0,0192%;0,2524%;3,2421%;0,0333%;0,2423%;2,3109%;0,0908%;0,3192%;7,8058%;0,0554%;1,4103%
2021-02-04;2,8207%;0,0143%;0,1872%;3,8702%;0,0201%;0,2572%;3,3078%;0,0360%;0,2482%;2,3734%;0,1048%;0,3385%;8,0535%;0,0611%;1,4402%
2021-02-05;2,8744%;0,0154%;0,1900%;3,9342%;0,0208%;0,2614%;3,3707%;0,0390%;0,2545%;2,4237%;0,1211%;0,3577%;8,3202%;0,0701%;1,4698%
2021-02-06;2,9120%;0,0164%;0,1922%;3,9637%;0,0216%;0,2639%;3,4034%;0,0409%;0,2577%;2,4639%;0,1323%;0,3703%;8,5854%;0,0744%;1,4912%
2021-02-07;2,9470%;0,0174%;0,1950%;3,9877%;0,0229%;0,2660%;3,4315%;0,0421%;0,2602%;2,4873%;0,1349%;0,3731%;8,7343%;0,0761%;1,5048%
2021-02-08;2,9668%;0,0204%;0,1989%;4,0116%;0,0253%;0,2697%;3,4713%;0,0463%;0,2662%;2,5582%;0,1490%;0,3883%;9,0286%;0,0827%;1,5183%
2021-02-09;2,9987%;0,0222%;0,2007%;4,0498%;0,0273%;0,2723%;3,5212%;0,0514%;0,2718%;2,6340%;0,1783%;0,4175%;9,1950%;0,0958%;1,5349%
2021-02-10;3,0443%;0,0245%;0,2031%;4,1093%;0,0288%;0,2751%;3,5977%;0,0621%;0,2831%;2,7318%;0,2197%;0,4598%;9,5369%;0,1156%;1,5622%
2021-02-11;3,1060%;0,0281%;0,2083%;4,1760%;0,0332%;0,2816%;3,6892%;0,0737%;0,2965%;2,9163%;0,2675%;0,5134%;10,4169%;0,1298%;1,6261%
2021-02-12;3,1696%;0,0313%;0,2151%;4,2512%;0,0385%;0,2905%;3,7797%;0,0778%;0,3045%;3,0909%;0,2766%;0,5309%;11,3766%;0,1363%;1,6888%
2021-02-13;3,1848%;0,0331%;0,2170%;4,2707%;0,0405%;0,2929%;3,8017%;0,0797%;0,3069%;3,1236%;0,2812%;0,5379%;11,4580%;0,1388%;1,7164%
2021-02-14;3,1925%;0,0340%;0,2179%;4,2812%;0,0409%;0,2932%;3,8161%;0,0806%;0,3078%;3,1414%;0,2842%;0,5408%;11,5104%;0,1399%;1,7175%
2021-02-15;3,2194%;0,0348%;0,2189%;4,3155%;0,0422%;0,2953%;3,8615%;0,0828%;0,3111%;3,1950%;0,2936%;0,5515%;11,6358%;0,1471%;1,7357%
2021-02-16;3,2341%;0,0358%;0,2198%;4,3347%;0,0436%;0,2968%;3,8881%;0,0859%;0,3146%;3,2483%;0,3038%;0,5618%;11,7404%;0,1576%;1,7476%
2021-02-17;3,2547%;0,0371%;0,2210%;4,3594%;0,0451%;0,2984%;3,9222%;0,0889%;0,3184%;3,3127%;0,3162%;0,5765%;11,9026%;0,1666%;1,7665%
2021-02-18;3,3093%;0,0389%;0,2255%;4,4316%;0,0472%;0,3040%;4,0105%;0,0924%;0,3254%;3,5982%;0,3306%;0,5993%;13,0848%;0,1735%;1,8345%
2021-02-19;3,3811%;0,0418%;0,2323%;4,5237%;0,0499%;0,3124%;4,1339%;0,0958%;0,3368%;3,9774%;0,3448%;0,6310%;15,1925%;0,1783%;1,9889%
2021-02-20;3,4365%;0,0428%;0,2367%;4,5874%;0,0514%;0,3187%;4,2237%;0,0976%;0,3431%;4,2887%;0,3479%;0,6461%;17,0047%;0,1804%;2,0670%
2021-02-21;3,4581%;0,0438%;0,2390%;4,6118%;0,0523%;0,3204%;4,2708%;0,0994%;0,3466%;4,5271%;0,3504%;0,6604%;18,1951%;0,1822%;2,1426%
2021-02-22;3,4824%;0,0455%;0,2418%;4,6380%;0,0541%;0,3249%;4,3298%;0,1020%;0,3553%;4,8363%;0,3633%;0,6956%;19,8044%;0,1886%;2,2706%
2021-02-23;3,5043%;0,0470%;0,2448%;4,6644%;0,0552%;0,3271%;4,3827%;0,1052%;0,3615%;5,0862%;0,3768%;0,7187%;21,2917%;0,1976%;2,3770%
2021-02-24;3,5227%;0,0485%;0,2470%;4,6904%;0,0571%;0,3304%;4,4453%;0,1083%;0,3679%;5,3342%;0,3862%;0,7387%;22,5594%;0,2084%;2,4696%
2021-02-25;3,5701%;0,0501%;0,2508%;4,7607%;0,0584%;0,3371%;4,5579%;0,1110%;0,3778%;5,6959%;0,4005%;0,7685%;24,0430%;0,2146%;2,5704%
2021-02-26;3,6574%;0,0515%;0,2586%;4,8657%;0,0603%;0,3485%;4,7107%;0,1139%;0,3902%;6,0846%;0,4084%;0,7925%;25,7038%;0,2176%;2,6555%
2021-02-27;3,7336%;0,0523%;0,2641%;4,9453%;0,0610%;0,3545%;4,8276%;0,1161%;0,3996%;6,3678%;0,4154%;0,8118%;26,9190%;0,2208%;2,7152%
2021-02-28;3,7484%;0,0529%;0,2653%;4,9705%;0,0615%;0,3560%;4,8806%;0,1184%;0,4033%;6,5385%;0,4230%;0,8241%;27,7154%;0,2231%;2,7368%
2021-03-01;3,7760%;0,0538%;0,2675%;5,0042%;0,0620%;0,3590%;4,9458%;0,1210%;0,4079%;7,0050%;0,4314%;0,8406%;30,5269%;0,2268%;2,7855%
2021-03-02;3,7929%;0,0555%;0,2696%;5,0282%;0,0635%;0,3612%;5,0057%;0,1249%;0,4140%;7,5894%;0,4484%;0,8659%;33,0875%;0,2344%;2,8351%
2021-03-03;3,8136%;0,0566%;0,2717%;5,0554%;0,0643%;0,3641%;5,0734%;0,1302%;0,4214%;8,3134%;0,4630%;0,8910%;35,5129%;0,2447%;2,9123%
2021-03-04;3,8511%;0,0579%;0,2757%;5,0997%;0,0652%;0,3676%;5,1572%;0,1329%;0,4281%;9,1832%;0,4728%;0,9116%;37,6930%;0,2495%;2,9583%
2021-03-05;3,9026%;0,0595%;0,2803%;5,1507%;0,0663%;0,3723%;5,2478%;0,1359%;0,4361%;10,1964%;0,4830%;0,9352%;39,6948%;0,2578%;2,9962%
2021-03-06;3,9312%;0,0601%;0,2835%;5,1825%;0,0667%;0,3753%;5,3106%;0,1378%;0,4407%;11,1434%;0,4904%;0,9543%;41,0745%;0,2635%;3,0185%
2021-03-07;3,9474%;0,0613%;0,2857%;5,1975%;0,0671%;0,3764%;5,3639%;0,1395%;0,4443%;12,2795%;0,4952%;0,9727%;42,2432%;0,2668%;3,0334%
2021-03-08;3,9650%;0,0650%;0,2899%;5,2189%;0,0765%;0,3861%;5,4331%;0,1499%;0,4557%;13,4199%;0,5044%;0,9960%;43,5731%;0,2704%;3,0520%
2021-03-09;3,9861%;0,0703%;0,2959%;5,2414%;0,0868%;0,3967%;5,5059%;0,1611%;0,4689%;14,8100%;0,5189%;1,0276%;44,8024%;0,2971%;3,0877%
2021-03-10;4,0136%;0,0756%;0,3028%;5,2712%;0,0964%;0,4083%;5,5971%;0,1737%;0,4841%;16,1088%;0,5428%;1,0691%;46,1952%;0,3440%;3,1486%
2021-03-11;4,0697%;0,0796%;0,3099%;5,3305%;0,1037%;0,4190%;5,7294%;0,1820%;0,4982%;17,9108%;0,5589%;1,1132%;48,6995%;0,3509%;3,1954%
2021-03-12;4,1401%;0,0847%;0,3183%;5,4090%;0,1102%;0,4305%;5,9668%;0,1884%;0,5119%;19,7232%;0,5744%;1,1524%;51,4648%;0,3575%;3,2338%
2021-03-13;4,2107%;0,0853%;0,3232%;5,4777%;0,1111%;0,4358%;6,2644%;0,1907%;0,5221%;21,6731%;0,5812%;1,1837%;53,6538%;0,3614%;3,2591%
2021-03-14;4,2448%;0,0862%;0,3266%;5,5146%;0,1115%;0,4381%;6,5618%;0,1918%;0,5295%;23,4387%;0,5851%;1,2117%;55,1719%;0,3640%;3,2825%
2021-03-15;4,2750%;0,0880%;0,3303%;5,5532%;0,1127%;0,4422%;6,8703%;0,1959%;0,5416%;25,5598%;0,5987%;1,2461%;56,5016%;0,3704%;3,3066%
2021-03-16;4,3031%;0,0899%;0,3336%;5,5874%;0,1138%;0,4454%;7,1870%;0,2006%;0,5520%;27,6845%;0,6145%;1,2823%;57,7640%;0,3759%;3,3259%
2021-03-17;4,3602%;0,0910%;0,3388%;5,6558%;0,1152%;0,4521%;7,4614%;0,2045%;0,5638%;29,2781%;0,6240%;1,3085%;59,3668%;0,3810%;3,3627%
2021-03-18;4,4421%;0,0921%;0,3444%;5,7535%;0,1168%;0,4597%;7,7325%;0,2105%;0,5788%;31,5545%;0,6378%;1,3486%;62,4053%;0,4014%;3,4286%
2021-03-19;4,5263%;0,0936%;0,3512%;5,8545%;0,1182%;0,4688%;8,0044%;0,2143%;0,5921%;33,9038%;0,6446%;1,3801%;65,7163%;0,4049%;3,4884%
2021-03-20;4,5786%;0,0951%;0,3560%;5,9024%;0,1192%;0,4734%;8,2230%;0,2167%;0,6008%;35,7404%;0,6469%;1,4011%;67,5256%;0,4074%;3,5075%
2021-03-21;4,6325%;0,0963%;0,3596%;5,9580%;0,1196%;0,4764%;8,3939%;0,2185%;0,6064%;37,0275%;0,6497%;1,4187%;68,8215%;0,4092%;3,5180%
2021-03-22;4,6677%;0,0970%;0,3620%;6,0444%;0,1209%;0,4820%;8,7844%;0,2225%;0,6207%;38,4455%;0,6580%;1,4455%;69,9400%;0,4157%;3,5399%
2021-03-23;4,7120%;0,0986%;0,3655%;6,1298%;0,1221%;0,4877%;9,3964%;0,2255%;0,6354%;40,1540%;0,6662%;1,4732%;70,8614%;0,4203%;3,5587%
2021-03-24;4,7636%;0,1009%;0,3705%;6,2222%;0,1235%;0,4958%;10,0027%;0,2298%;0,6536%;42,6651%;0,6749%;1,5109%;72,1205%;0,4262%;3,5929%
2021-03-25;4,8396%;0,1032%;0,3767%;6,3401%;0,1254%;0,5047%;10,7412%;0,2342%;0,6714%;45,8193%;0,6829%;1,5472%;74,6570%;0,4306%;3,6320%
2021-03-26;4,9169%;0,1062%;0,3840%;6,4482%;0,1278%;0,5158%;11,5023%;0,2403%;0,6933%;48,8946%;0,6917%;1,5829%;76,9643%;0,4373%;3,6635%
2021-03-27;4,9537%;0,1081%;0,3871%;6,5062%;0,1307%;0,5217%;12,1253%;0,2446%;0,7141%;52,0051%;0,6949%;1,6167%;78,3563%;0,4391%;3,6814%
2021-03-28;4,9887%;0,1095%;0,3906%;6,5605%;0,1318%;0,5250%;12,7106%;0,2503%;0,7319%;54,5149%;0,6972%;1,6439%;79,4128%;0,4398%;3,6936%
2021-03-29;5,0447%;0,1110%;0,3953%;6,6719%;0,1334%;0,5337%;13,4485%;0,2615%;0,7565%;57,1225%;0,7055%;1,6744%;80,3141%;0,4441%;3,7080%
2021-03-30;5,1317%;0,1150%;0,4041%;6,8082%;0,1376%;0,5469%;14,2696%;0,2730%;0,7869%;59,4052%;0,7203%;1,7155%;80,9747%;0,4478%;3,7221%
2021-03-31;5,2081%;0,1195%;0,4139%;6,9287%;0,1420%;0,5612%;15,0411%;0,2833%;0,8156%;61,6602%;0,7317%;1,7506%;81,7934%;0,4545%;3,7404%
2021-04-01;5,2913%;0,1243%;0,4233%;7,0526%;0,1448%;0,5741%;15,9085%;0,2919%;0,8423%;64,4221%;0,7425%;1,7868%;82,8460%;0,4602%;3,7625%
2021-04-02;5,3590%;0,1277%;0,4314%;7,1551%;0,1493%;0,5860%;16,8211%;0,3025%;0,8699%;66,8421%;0,7487%;1,8163%;83,9604%;0,4657%;3,7825%
2021-04-03;5,4091%;0,1309%;0,4383%;7,2232%;0,1525%;0,5936%;17,6468%;0,3082%;0,8932%;69,0738%;0,7521%;1,8456%;84,7136%;0,4676%;3,7910%
2021-04-04;5,4282%;0,1323%;0,4408%;7,2559%;0,1533%;0,5965%;18,1703%;0,3123%;0,9079%;70,1815%;0,7541%;1,8608%;85,0150%;0,4685%;3,7942%
2021-04-05;5,4668%;0,1353%;0,4464%;7,2905%;0,1556%;0,6013%;19,0063%;0,3268%;0,9348%;72,2813%;0,7615%;1,8863%;85,9196%;0,4726%;3,8045%
2021-04-06;5,5251%;0,1562%;0,4702%;7,3500%;0,1774%;0,6274%;20,0015%;0,3675%;0,9904%;74,2763%;0,7881%;1,9357%;86,6140%;0,4942%;3,8349%
2021-04-07;5,6119%;0,1803%;0,5018%;7,4427%;0,2100%;0,6665%;21,0075%;0,4167%;1,0552%;76,4996%;0,8243%;1,9963%;87,3849%;0,5236%;3,8726%
2021-04-08;5,7309%;0,2187%;0,5505%;7,5955%;0,2713%;0,7382%;22,9839%;0,4809%;1,1547%;78,5288%;0,8595%;2,0519%;87,9917%;0,5901%;3,9468%
2021-04-09;5,8632%;0,2576%;0,5976%;7,7901%;0,3222%;0,8000%;25,1934%;0,5347%;1,2482%;80,3612%;0,8813%;2,0956%;88,7270%;0,6015%;3,9684%
2021-04-10;5,9532%;0,2872%;0,6320%;7,9080%;0,3560%;0,8400%;27,0751%;0,5690%;1,3149%;81,8248%;0,8888%;2,1204%;89,3791%;0,6052%;3,9803%
